course_id,event_id,course_name
ARCH481-M21,cb3b9b77-1a93-420c-9223-d5072fab4c07,Professional Practice I
ARCH481-M22,6d454315-23e2-4aa8-9823-96baa5db979a,Professional Practice I
ARCH502-M01,69f4fb6a-3baa-421f-8fa3-b2df362a8bf7,Architectural Design VIII
ARCH502-M02,e2692365-56c3-4811-b917-23bd07395e05,Architectural Design VIII
ARCH502-M03,496ca164-6183-4f0a-a02e-13eb0e181e79,Architectural Design VIII
ARCH502-M04,0c80798c-487a-476b-b410-627111c04ed7,Architectural Design VIII
ARCH502-M05,c9b1c84c-9e35-4f6b-b2a5-4921170377bf,Architectural Design VIII
ARCH602-M01,a74ccb8d-248c-41e9-931e-6154b4493667,M. ARCH Studio 2
ARCH621-M01,5baaadf5-9cca-4ba0-9fe3-690e9002fd6d,Building Systems I
ARCH644-M11,b9a236d8-0093-428c-be7c-ea020138e620,Arch Visual Communication 2
ARCH662-M11,4d706589-a36a-4264-8595-e10604da811a,Global History of Architecture
ARCH702-M01,08e9ce43-0661-46db-ae17-29705ee74174,Urban Design Studio II
ARCH702B-M01,c9ee2d7e-a202-4d42-8a41-2b2a4a86d969,Computational Design Studio 2
ARCH702C-M01,c11972f6-2d5e-4901-ab96-f78ff52334b3,Health and Design Studio 2
ARCH705-M01,c1125676-3eb4-443b-8360-67af1f24327c,M. ARCH Studio 5
ARCH705-M02,10e6c83c-2567-4856-ac0d-df2df931d14c,M. ARCH Studio 5
ARCH722-M01,960bffa1-e555-4f77-9906-36468c844b9b,Building Systems 2
ARCH724-M12,f0c68e6a-2091-47e1-b1c4-65863ba9ad08,Material Tectonics II
ARCH725-M01,8259f7bf-0a3c-4eec-b7ed-055d2730a5c6,Theories & Studies of Urbanism
ARCH727-M01,0df30500-703f-4ab9-8474-5e401e2749a1,Construction Documents
ARCH752-M01,e038e711-ee0c-4ddd-9618-d91543881ed4,Multidisciplinary Design
ARCH755-M01,b16befb6-8ff1-4ad3-88d1-8c5de3eb1c8d,Envt Behav & Dsgn Intelligence
ARCH756-M01,5fb74d37-ab56-4576-ab0a-b7f3736973f5,Medical & Mobility Prototypes
ARCH776-M01,09ffbf57-3aff-48e4-af31-eb3a1fcc8a1b,Fabrication Optimization
ARCH782-M01,6645b165-d20d-41e7-8a49-2639c7c340c8,Computational Design II
ARCH784-M01,34d04762-c3c1-465d-9172-ede3d190213d,Fabrication and Robotics II
ARCH791-M11,25ed7db3-6964-4bda-8491-86b1c6be606b,Special Studies in Arch
ARCH791-M12,95bc1507-0682-43db-8b23-1679f9787fd9,Special Studies in Arch
ARCH802-M01,78d29ba0-87b7-496d-b653-07c52b537640,M. ARCH Studio 7
ARCH802-M02,fdf56309-ec67-42da-989d-2541e6db9859,M. ARCH Studio 7
ARCH842-M01,dc1eb151-d57b-419d-a9a0-ae33d6d56bc2,Digi Technique & Media Dsgn II
ARCH880-M11,9f193ac9-20b1-445d-93ae-4e7bf292da3c,Practice Models & Strategies
ARTA803-M01,905c12da-6d30-4b36-8904-567f621db106,Visual Comm & Emerging Tech
ARTC251-M01,bcf635c1-e5b7-46c1-a0cc-91743eaf43b7,Computer Graphics II
ARTC251-M02,dbc6ee71-f72d-4247-ac28-8765a9e739c1,Computer Graphics II
ARTC270-M01,1c597a6d-f079-4185-b62e-d1a3836cb9bc,Game Theory & History
ARTC351-M01,97ca0fcb-f3e3-4e79-a2d4-59275652a510,Digital Compositing
ARTC371-M01,e7665526-a1dd-4b72-87be-82cb686d71d0,Game Design II
ARTC400-M01,4472b356-136a-49f7-8e70-dfeba466c12b,Thesis Proposal
ARTC406-M01,4c39777b-6a46-47f5-996d-b9fb6c7b99a8,Thesis Production II
ARTC406-M02,677ee116-c72a-4c22-9dbb-ccc82f8222d2,Thesis Production II
ARTC410-M01,b4a7fc94-b6c3-4cef-b7f3-0179d46dc389,Portfolio
ARTC410-M01,870d0731-ab4e-488e-973f-9d1b2d83226d,Portfolio
ARTC410-M02,1abba395-5481-49c4-8de1-fe08fc148d11,Portfolio
ARTD102-M01,67d0444c-5f0a-477e-af36-f4eb30f54ca1,Form and Space
ARTD102-M02,5d5b2fde-a099-4bec-85f8-f197cd2f6c15,Form and Space
ARTE801-M01,befe9c1e-a4cb-415a-b800-9650074491e4,Dig Comp & Visl Effect
ARTG251-M01,c3b2dc9e-3738-4daa-9541-8901cfec26c3,Visual Identity
ARTG260-M01,e249a52c-5bbc-47c8-9d45-d28c58ebe191,Web Design
ARTG260-M01,9eab97ab-dbbf-4379-9846-ee1404e65174,Web Design
ARTG303-M01,3f35741f-a5ef-460f-a634-bc7231a34090,Illustration
ARTG352-M01,9010c3bf-2ea2-43ab-93e1-0fe23d6446f8,Editorial Design
ARTG451-M01,cddb5c72-1b96-48c3-992d-86ebfc65c122,Portfolio
ARTG655-M01,19160148-23a9-44e4-9146-da3938f4a171,Branding Design and Strategy
ARTG656-M01,d0c02e21-ecd8-4745-92bb-bea745010915,Environmental Graphic Design
ARTG751-M01,2d2f6b0e-535d-4878-87c3-3a599ebd0e50,Info Dsgn & Data Visualization
ARTG751-M01,22fa08d1-4468-4e3e-9bdc-2f0f08c82fe6,Info Dsgn & Data Visualization
ARTG801-M01,c4ea6e13-b871-4de2-96bf-f228089bfb15,Advertising Design
ARTG801-M01,0a7cd51e-38e3-4bc2-8bb7-7a9ceedb2c33,Advertising Design
ARTI601-M01,59b6d951-491a-4a85-86de-64468391e4d9,UX Design Foundations
ARTI601-M01,050f82c8-e415-4f72-9376-cd45734cfdc4,UX Design Foundations
ARTI602-M01,ba1adf72-e13a-4ab0-a40d-b4700a15aebc,Human Computer Interaction Dsg
ARTI602-M01,6142f8e6-14b2-4e3e-80cb-166e7fff1ac8,Human Computer Interaction Dsg
ARTI603-M01,38c9841b-4b35-4bb3-9aaa-247a43fc9ca6,User Interface & Prototyping
ARTI604-M01,36cebe78-eb06-412c-8cef-2a8455d58427,UX/UI Design for VR/AR/MR
ARTI604-M02,a1c5fe58-09d0-4e6a-93ef-f0b56b397618,UX/UI Design for VR/AR/MR
ARTI605-M01,4d2e4e2f-b645-4d85-a6bf-b3bc804edee1,Unity Design
ARTI605-M01,dc4cbfb1-64f6-492e-8a5c-9e93a9ecfbb3,Unity Design
ARTI606-M01,08c0079d-6a62-4076-93b0-91be1280ad3d,UX Research & Data Analytics
ARTI607-M01,e4d0ca45-302d-478e-b879-bf3fd10feaff,Info Arch & Content Strategy
ARTI608-M01,55a19bca-7b0b-429f-8239-7ad50f4d28e5,Adv Research: Usability & Test
ARTI609-M01L,e2040b3e-e092-4713-b87f-2592717ada55,Web & Mobile Development
ARTI609-M02,536f8e1f-7eca-40c3-a3e8-3f56b3d7235f,Web & Mobile Development
ARTI609-M02L,412dda85-0d37-47a9-b8a4-1e62cda73109,Web & Mobile Development
ARTP802-M01,9b106b9f-2556-4966-90f0-c2fee2161ad2,Master Project
ARTP802-M01,9430e8ac-9724-4cfd-b949-b511972779f4,Master Project
ARTP802-M02,313ae5b4-4bd7-4cea-88a9-99e00c34cf67,Master Project
ARTQ452-M01,8ad12233-ded2-4454-a564-10defc6394b4,Technical Artist Studio
ARTQ452-M01,75bd75f4-6147-47b6-aab2-a7f989ba5d99,Technical Artist Studio
ARTQ453-M01,a6b8df85-90bd-4b53-af78-2df55c9119c4,Emerging Tech for Games
ARTS201-M01,d5612775-b209-4fc1-b523-0df0d5dae414,Sculpture I
ARTS251-M01,01ef21af-6ca7-43bd-95c1-a68f50b5429b,Sculpture II
ARTU872-M01,bc696b16-8b4e-4c32-8eac-4733d51aaff4,Thesis II: Production
ARTW151-M01,13a43e49-5c4e-41b4-8c27-fa2079cf56e3,Drawing II
ARTW151-M02,f4f46409-0d7a-4fc2-8968-d165c458393f,Drawing II
ARTW255-M01,04dfe95d-b9ca-431c-940e-0a06b045caa1,Concept & Visual Storytelling
BIOE320-M01,e4e91eb9-c30b-448a-b8a2-97083bab1deb,Statistics for Bioengineers
BIOE440-M01,e9d76652-e252-442d-b223-7926522d32e2,Process Control Biotechnology
BIOE650-M01,d9af9387-9335-4ccf-a210-e9b069488ab5,Medical Devices
BIOL101-M01,118a65bf-389e-45e8-badd-4107cc7b4178,Humanity & the Biological UnIv
BIOL107-M01,c60caf21-ec46-4ac3-a022-00aeab919c21,Environmental Sciences
BIOL110-M01,0d6f4d18-7ff0-4fb0-a25e-8b1ef4f4e3a3,General Biology I
BIOL110-M01L,b11a5205-fb05-4263-b927-732eee556b20,General Biology I
BIOL110-M02L,3fc9f094-68f8-46df-9857-1ddbfd059f1d,General Biology I
BIOL150-M01,8cf46bf4-5173-43f0-9431-7cb9752e44ac,General Biology II
BIOL150-M02,a6e989d2-613d-493c-92ce-844af6cfc243,General Biology II
BIOL150-M02L,4fc01cbc-8f50-47ec-b6af-038fc887cf32,General Biology II
BIOL150-M03B,bbf1f533-fa95-4730-98a8-65c4d49d0f6a,General Biology II
BIOL150-M03L,35dacab8-fa8e-4a5e-805d-f72e8740c750,General Biology II
BIOL150-M04L,a62f4574-0cfe-42a6-a755-8b94d5584163,General Biology II
BIOL150-M05L,c726482a-7d5b-4ea8-bb50-94aed8ed096f,General Biology II
BIOL155-M01,e7263f43-814f-4bbc-818d-7ca84285547a,Osteo Prin/Prac
BIOL233-M01,554897fb-92ac-43ca-8b3b-284dd1165967,Genetics
BIOL233-M01L,8af85643-7fee-48df-ab7d-d418b17d8332,Genetics
BIOL235-M01,5e5e2342-5bf2-4168-9393-cbcd7183b4c9,Microbiology
BIOL235-M01L,27e1c0c5-a29d-4d07-a337-042736bb08ec,Microbiology
BIOL238-M01,7afc3df8-ad3c-4efa-9e17-cc08f906ce0e,Introduction to Biotechnology
BIOL250-M01,447b9780-282f-43da-9d2c-b81f3407b612,Biostatistics
BIOL310-M01,552e907b-4ef1-4700-9482-d9015acabe87,Human Physiology
BIOL310-M01L,ecdb1619-b489-45d2-a33d-be0a5c05aefb,Human Physiology
BIOL310-M02L,f8638c83-3d01-4174-995d-f7cae33eb64d,Human Physiology
BIOL315-M01,7a780fa8-5521-4299-90a7-a4ca54a1cec3,Neuroscience
BIOL325-M01,4c384211-70ba-4c36-be4b-a880aceed673,Evolutionary Biology
BIOL340-M02B,f9adcbf7-dbd8-48fd-8e99-5dacf40d924d,Biochemistry
BIOL340-M02L,d28d6e03-0bcb-4c65-aa9c-ace0c4653c76,Biochemistry
BIOL340-M03L,7bdeecf5-e031-49d9-aef2-74a6b967ec76,Biochemistry
BIOL341-M01,f43d71dd-333a-4919-8d91-beb177af2f18,Genetic Engineering
BIOL350-M01,8f0f45b2-8308-44ab-8792-8c07426a0286,Bioinformatics & Funct Genomic
BIOL395-M01,55b344b9-cbed-4fd6-bcf3-c7123d47a1af,Intro to Research Literature
BIOL432-M01,77d0321a-b061-478b-a4a2-222d42f3887f,Cell Biology
BIOL435-M01,2eb0e67c-8f9c-4ae6-b3f7-da94db4479bd,Evolutionary Biology
BUSA701-M02,231c7753-08ce-483e-bbee-96eaef4f9a06,Data Interact & Visualization
BUSI650-M01,2017abb8-c957-49f7-9de2-51d4a05d52c7,Business Analytics & Decision
BUSI775-M01,ecec3073-c7e8-4526-98b4-da718e8ec498,Risk Management Integrated Sem
CHEM107-M01,384fcee4-5217-4168-99cc-2da2995855db,Engineering Chemistry I
CHEM110-M01,6a7bf5c0-17de-4f05-8c57-ef9a3df8b849,General Chemistry I
CHEM110-M01L,296a33e0-08de-45d3-bb10-f6140d73e57a,General Chemistry I
CHEM110-M02L,097fa61f-c0f0-4e30-876e-ef740cdfe2e4,General Chemistry I
CHEM150-M01,febb70d0-cdb0-496e-857e-37fad50e6835,General Chemistry II
CHEM150-M01L,626d50d9-2732-4915-beda-77cc5ba0735c,General Chemistry II
CHEM150-M02B,6a36527d-78eb-41c9-83f9-cb3bbcae116e,General Chemistry II
CHEM150-M02L,f1762aac-b96e-4ce1-b8a9-4ac41f2e37dc,General Chemistry II
CHEM150-M03,c5c004d2-3eeb-4266-80e8-a7874f3e2a5b,General Chemistry II
CHEM150-M03L,66ff4662-e9fe-4a98-8d15-bc476dc6cdd6,General Chemistry II
CHEM150-M04L,30625d4b-1107-4e1f-ad8c-66bd0c13c8fa,General Chemistry II
CHEM210-M01,87ca509b-a634-4993-81a2-b12c3efdca47,Organic Chemistry I
CHEM210-M01L,c22f075a-0460-473a-a19a-38c37e48f7fc,Organic Chemistry I
CHEM250-M01,8c46ec6c-8c43-4e57-b899-4597553972df,Organic Chemistry II
CHEM250-M01L,6b34d74d-aaca-4e99-9ac1-c65ebb579d14,Organic Chemistry II
CHEM250-M02B,0db8b945-fcc2-4724-88e6-c9a7cc3ea084,Organic Chemistry II
CHEM250-M02L,827c5afe-7ef2-4083-b350-5376ee376a29,Organic Chemistry II
CHEM395-M01,281461f0-910e-4e66-8ce8-9e719661ddbc,Intro to Research Design
CHEM440-M01,62065d86-ffb9-4d71-8323-7f81a812fd8c,Drug Discovery & Development
CHEM493-M01,e022b08b-48fa-4512-b04c-9e4cf4477cdc,Independent Research III
CSCI125-M01,2f476629-d26a-49b0-89b5-d17810e0ca71,Computer Programming I
CSCI125-M01,807c0df9-1e94-4ee3-a13e-23e87d702257,Computer Programming I
CSCI125-M02,52fc9963-5655-4b92-8b7d-82a06cdff87f,Computer Programming I
CSCI125-M02,a75643aa-ed1d-444e-86ab-a57378e773a5,Computer Programming I
CSCI125-M03,331abae7-0c33-414d-b969-17e734f75508,Computer Programming I
CSCI125-M04,deca9153-3f89-483d-8181-6c88a816d62d,Computer Programming I
CSCI125-M05,36e6e55a-72d8-4385-9e8b-b9eba5483391,Computer Programming I
CSCI125-M06,0b4d6c3b-e20c-48b7-b942-3f0a1708cb67,Computer Programming I
CSCI125-M07,bec5af15-5170-4354-8e73-6f58816a7b0d,Computer Programming I
CSCI125-M07,633044e1-f74b-4129-a3a8-c6437f7b52ca,Computer Programming I
CSCI125-M08,41fc25ee-0a7b-4013-a322-e07bf12acb39,Computer Programming I
CSCI125-M08,a02e91a4-664a-457b-82db-6ec0df980be1,Computer Programming I
CSCI130-M02,a8ecebf5-6099-45c7-9db7-9ff1e84a9973,Computer Organization
CSCI135-M01,116947ca-127a-4c9d-89bc-0e7c636e49e8,Digital Logic Design Fund
CSCI135-M02,6216a8cb-3022-478d-abd1-a223efc7aac5,Digital Logic Design Fund
CSCI135-M03,cffe73f6-664a-4476-8302-eb8652baa073,Digital Logic Design Fund
CSCI155-M03,f54e77f5-0a56-4f92-befc-0959953d6b2e,Computer Org and Architecture
CSCI155-M04,08d07af4-5540-4445-9522-7a0df967d1d3,Computer Org and Architecture
CSCI155-M05,8809bde0-b340-41db-8975-5b518bdf1c15,Computer Org and Architecture
CSCI155-M06,d6151316-b311-4095-a376-f5a7b556393c,Computer Org and Architecture
CSCI185-M01,7d028c26-19a3-4cee-90ed-baa54f200487,Computer Programming II
CSCI185-M03,3ab541a5-46ea-428d-8f90-32e7bbdc109e,Computer Programming II
CSCI185-M04,11a3084c-4198-4e99-98a3-ed0696f84667,Computer Programming II
CSCI185-M05,b591863a-916b-45ae-ae53-77924691de3a,Computer Programming II
CSCI185-M06,6db75ffe-077a-44a0-b0f8-b89221110671,Computer Programming II
CSCI185-M07,730666bd-7df7-459f-937d-c5394b1092c5,Computer Programming II
CSCI202-M01,9462284b-56cd-4cbb-a4c6-cbaeeca60258,Introduction to CS and AI
CSCI235-M01,daa77385-130c-4232-8d4a-a11ba16fa8e6,Elements of Discrete Structure
CSCI235-M02,85f2ce56-f4c8-4b36-a342-55e24343f821,Elements of Discrete Structure
CSCI235-M03,93d0f1ac-6d40-4b0a-ad6d-2ded338c6f82,Elements of Discrete Structure
CSCI235-M04,9eb3d474-3b7a-4f10-a053-9a1761d9db03,Elements of Discrete Structure
CSCI260-M01,32344aa3-b571-4116-8914-d5fadcdaf417,Data Structures
CSCI260-M02,35907945-91f2-46af-bc27-af616648d755,Data Structures
CSCI260-M05,b97d8f06-a075-4a6a-81a4-022952bb2553,Data Structures
CSCI260-M06,373afa9e-d75d-4487-b43e-21fd6594020f,Data Structures
CSCI270-M01,1b75ca8d-777f-4df6-87aa-7fefd6dde170,Statistics Com Sci
CSCI300-M01,b68827a2-b815-4315-9dd3-e7806a17c441,Database Management
CSCI312-M01,1f9712a1-3505-497b-a69d-65100299cf34,Theory of Computation
CSCI318-M01,a40c0e04-af3a-4c64-a659-d0432d3a775c,Programming Language Concepts
CSCI330-M01,f6754e63-f341-4865-a6ce-c25b27de2b39,Operating Systems
CSCI330-M02,a3ec219c-b59c-48ea-85da-b290422b7a19,Operating Systems
CSCI330-M03,9a92d244-fa51-44d6-b60d-49d8eee04662,Operating Systems
CSCI330-M04,7d1cf155-33b6-4b2a-8376-2d3971b00acf,Operating Systems
CSCI335-M01,fc8b7760-153d-4250-90c3-34f63539690e,Des Anal Algor
CSCI345-M01,4077ad85-415c-4672-9211-5a472d4743f2,Computer Networks
CSCI355-M01,0545b345-5879-4645-9ec1-6637ea00ebff,Artificial Intelligence I
CSCI357-M01,4e6497a3-9c91-4fe4-9f58-59cb6793a275,Cisco Academy Level I
CSCI362-M01,1c034d61-b799-4455-b0a3-2c454ee9ca9c,Info System Sec Engin & Admin
CSCI380-M01,6eb504b2-becc-4360-b17f-2e8f807bae36,Intro to Software Engineering
CSCI405-M01,dac20418-f32c-45f6-ac94-bce41ea5d043,Distributed Database Systems
CSCI415-M01,3a34b689-b2a9-41c3-948d-6c15c01a1ed9,Introduction to Data Mining
CSCI426-M01,13b0e6df-0fe2-4319-9a4b-7b1f90ae3a77,Information Retrieval
CSCI436-M01,dc132839-e8a5-4c8c-9f42-80221ca3bf80,Big Data Mgmt
CSCI440-M01,82dea466-758f-4d15-901b-389135c3cfaf,Adv Network & Intern Security
CSCI445-M01,c800087b-cac1-492e-9046-430c53b1d498,Operating System Security
CSCI445-M02,0a754fba-af41-4a85-b9e2-2e172b560434,Operating System Security
CSCI502-M05,52a03e9d-3a8d-48d2-8dd7-fbd9d9d4eb2d,Computer Programming I
CSCI502-M07,883c1755-e9bc-4fc8-ba36-d1c62a3c8554,Computer Programming I
CSCI502-M07,9079918b-3591-4236-858d-611e771fb861,Computer Programming I
CSCI503-M03,2c8687a8-df0c-49a5-9ba7-73b96254f625,Organ and Arch
CSCI503-M05,f22f435a-1267-4208-a9da-4a9ecb642755,Organ and Arch
CSCI504-M03,4a205cb4-b15d-44fa-ba5c-304346dbc9ba,Computer Programming II
CSCI504-M07,569d53dc-fff2-4ee0-a16f-91c2ac7efa25,Computer Programming II
CSCI507-M01,12fdeda0-8d09-498a-b6fc-eccf1eeec80f,Data Structures
CSCI507-M05,ada9656a-931a-4b9f-9c94-c038532bd3f0,Data Structures
CSCI509-M01,5e7f61c9-2596-445b-ac40-91bc5b1a83b3,Operating Systems
CSCI509-M03,7fabfe5f-90e8-4b27-9516-bb729337366b,Operating Systems
CSCI610-M01,c6ebc338-341a-4f37-93f0-3a622fc2ad2a,Theor Conc in Computers & Comp
CSCI620-M01,cb3bfb67-e636-4720-ac34-5f8ee5148ab7,Operating System Security
CSCI620-M02,56a29bf7-867d-4d1f-bd90-85aef3ba9c08,Operating System Security
CSCI621-M01,9ccb6888-3836-49a4-910e-d46781b1ea6f,Programming Languages
CSCI626-M01,e6afe29b-299a-43c8-b903-3113ef62d76d,Information Retrieval
CSCI636-M01,b77544df-242a-4517-afcc-f56de3e08d48,Big Data Analytics
CSCI636-M02,18449bb7-6d4a-434d-b515-917efd62f15f,Big Data Analytics
CSCI651-M03,8ef9d40a-2379-4da1-a93f-b63d5aeeef62,Algorithm Concepts
CSCI657-M01,e031fd95-4c25-4f16-a1ab-0c571cf35139,Introduction to Data Mining
CSCI662-M01,1e977a25-bf0e-4c32-a4d1-5c9a5784ae7e,Inf. Sys. Sec. Eng. Admin.
CSCI665-M01,d38363f5-2128-4f4c-9413-cc97765e0a77,Software Engineering
CSCI690-M01,87caa231-b57b-4698-8c5f-42dc434c5d82,Computer Networks
CSCI755-M01,3ba06319-563e-46e9-a784-8a83d9df5370,Artificial Intelligence I
CSCI760-M01,af051d58-674a-4f48-8cb2-99dbf8973f04,Database Systems
CSCI860-M01,5c9ca19a-6a73-43e3-88d6-d6ce4e81329b,Special Topics
CTEC208-M01,0d94f446-6095-4b12-a37b-6624c80028bc,Programming Techniques II
CTEC216-M01,f178151e-fa68-4cb1-985a-1f70167c7cdf,Digital Electronics
CTEC216-M01L,5f4b5ffe-35fb-4742-a608-e596c4cb65cc,Digital Electronics
CTEC241-M01,667031d9-6fb4-415e-9b29-5b9d1c6396f1,Circuit Design and Fabrication
CTEC241-M01L,b2c9c382-0d04-4e62-b612-898d02f16c4f,Circuit Design and Fabrication
CTEC243-M01,e84c40af-5058-44fd-8fe3-e3fb06b2bed5,Appld Computational Analysis I
CTEC336-M01,97f632ed-1fed-44af-b116-0b3167b37990,Embedded Sys & Inter of Things
CTEC336-M01L,c5f5fad0-f87e-41df-a70a-231502ea6086,Embedded Sys & Inter of Things
CTEC350-M01,8b317981-5ac2-4c51-b5d1-b23ae10a0932,Microcontroller Based Systems
DATA101-M01,6e7257bf-42d9-4de4-97bb-fc1d34f68c2b,Making Sense of a Data-Society
DATA101-M02,038ed5ca-d259-43af-9197-4150813e613d,Making Sense of a Data-Society
DATA101-M03,0329f287-6dbb-4680-aee4-961530bd9e24,Making Sense of a Data-Society
DATA101-M05,b6a660eb-83bf-4178-b9c1-3407f8f5adc5,Making Sense of a Data-Society
DATA101-M06,da284bcc-055a-43b2-af78-a4b2e57c8d96,Making Sense of a Data-Society
DATA101-M08,bf406e95-b4a8-4fde-affd-fb6128689824,Making Sense of a Data-Society
DATA101-M09,e347119b-356a-4445-bbd5-536c707dafb4,Making Sense of a Data-Society
DATA101-M10,18d06d7b-57ee-4bfe-a411-f374abaa1166,Making Sense of a Data-Society
DSGN102-M01,e4d318ab-8e70-4599-a600-146a5782d498,Interior Environments I
DSGN102-M02,10b1b04c-7315-4c11-ab9c-579d71e6da13,Interior Environments I
DSGN160-M01,b9f82f98-100b-42b1-92a5-6127c81308e7,Design Theory: History/Context
DSGN160-M02,7d27539d-2967-4b4e-88c2-70cddfcae83f,Design Theory: History/Context
DSGN204-M01,87b4c10a-13a2-4d1d-a024-27d5eb7009e9,Interior Environments III
